surfactant_smiles,temperature,additive_smiles,additive_concentration,pcmc
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],20.0,[Na+].[Cl-],0.01,2.221848749616356
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],20.0,[Na+].[Cl-],0.02,2.3010299956639813
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],20.0,[Na+].[Cl-],0.03,2.3979400086720375
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],40.0,[Na+].[Cl-],0.01,2.154901959985743
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],20.0,,,3.0
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],25.0,,,2.958607314841775
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],30.0,,,2.939302159646388
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],40.0,,,2.721246399047171
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],20.0,[Na+].[Cl-],0.01,3.0457574905606752
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],20.0,[Na+].[Cl-],0.015,3.2218487496163566
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],20.0,[Na+].[Cl-],0.02,3.3010299956639813
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],20.0,[Na+].[Cl-],0.03,3.3010299956639813
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],20.0,,,2.853871964321762
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],30.0,,,2.958607314841775
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],20.0,[Na+].[Cl-],0.01,3.0
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],20.0,[Na+].[Cl-],0.03,3.154901959985743
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],20.0,[Na+].[Cl-],0.05,3.408935392973501
S(=O)(=O)(OCCCCCCC)[O-].[Na+],20.0,,,0.4814860601221125
C(CCCCCCCC)(=O)[O-].[K+],20.0,,,0.585026652029182
[Br-].C(CCCCCCC)[N+](C)(C)C,20.0,,,0.6020599913279624
[Cl-].C(CCCCCCCCCCC)[NH3+],20.0,,,1.7033348097384688
[Br-].C(CCCCCCCCCCC)[N+](CCC)(CCC)CCC,20.0,,,2.2006594505464183
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,,,2.1999706407558657
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[K+],20.0,,,2.2873502983727887
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Rb+],20.0,,,2.3205721033878812
[Br-].C(CCCCCCCCCCC)[N+](CCC)(CCC)CCC,20.0,,,2.2596373105057563
S(=O)(=O)(OCCCCCCCCCCCCCC)[O-].[Na+],20.0,,,2.6020599913279625
[Br-].C(CCCCCCCCCCCCCCC)[N+](C)(C)C,20.0,,,2.583359492661719
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Li+].[O-]Cl(=O)(=O)=O,0.015,2.337242168318426
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Na+].[Cl-],0.015,2.3979400086720375
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[NH4+].[Cl-],0.01,2.2806687130162735
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Na+].[Cl-],0.025,2.537602002101044
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[NH4+].[O-]Cl(=O)(=O)=O,0.015,2.4559319556497243
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Na+].[Cl-],0.05,2.632644078973981
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Na+].[Cl-],0.1,2.7594507517174
S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],20.0,[Na+].[Cl-],0.8,3.3010299956639813
[Br-].C(CCCCCCCCCCC)[N+](C)(C)C,20.0,[Na+].[Br-],0.002,2.8722474841670267
[Br-].C(CCCCCCCCCCCCC)[N+](C)(C)C,20.0,[Na+].[Br-],0.01,2.39577394691553
[Br-].C(CCCCCCCCCCCCC)[N+](C)(C)C,20.0,[Na+].[N-]=[N+]=[N-],0.01,2.408935392973501
