String,log CMC (uM),T_C
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.40312052117582,10
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.32014628611105,20
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.30749603791321,37
CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.32837960343874,50
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.65321251377534,6
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.54406804435028,25
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.65321251377534,45
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.12710479836481,15
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.09691001300806,25
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.11394335230684,35
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.14921911265538,45
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.20139712432045,55
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.23552844690755,65
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.28103336724773,75
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,2.32837960343874,85
CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],2.90308998699194,25
CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],3.07918124604763,50
CCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],3.53147891704226,40
CCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],3.34242268082221,30
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.47712125471966,25
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.50514997831991,15
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.30102999566398,40
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.44715803134222,20
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.43136376415899,30
CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],3.96331551138611,25
CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],4.00987563371216,35
CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],4.04375512696868,45
CCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],5.47712125471966,20
CCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],5.54406804435028,25
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.36361197989214,50
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.47712125471966,40
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.5910646070265,25
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.67486114073781,10
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.6170003411209,40
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.67942789661212,50
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.95530282276169,15
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.93811926919431,20
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.91603261018857,25
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.90725008288133,30
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.90151280912994,35
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.8991088581934,40
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.9022749204745,45
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.91771551655949,54
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],4.93580945380993,59.8
CCCCCCCCCCCCOCCOCCOCCO,1.79934054945358,10
CCCCCCCCCCCCOCCOCCOCCO,1.7481880270062,40
CCCCCCCCCCCCOCCOCCOCCO,1.7160033436348,25
CCCCCCCCCCCCC(=O)NC(C)C(=O)[O-].[Na+],3.97772360528885,25
CCCCCCCCCCCCC(=O)NC(C)C(=O)[O-].[Na+],3.99563519459755,35
CCCCCCCCCCCCC(=O)NC(C)C(=O)[O-].[Na+],3.9731278535997,45
CCCCCCCCCCCCC(=O)NC(C)C(=O)[O-].[Na+],3.92427928606188,55
CCCCCCCCCCCCC(=O)NC(C)C(=O)[O-].[Na+],3.79239168949825,65
CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.96848294855394,19.85
CCCCCCCCS[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,3.92941892571429,24.85
