smiles,pCMC,T,category
CCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],2.478,25,zwitterionic
CCCCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],3.433,25,zwitterionic
CCCCCCCCCCCCCCCC(=O)N(CCO)CCC(=O)[O-].[Na+],4.276,25,zwitterionic
C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)[O-].[Na+],1.398,25,zwitterionic
C1=CC=NC(=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O.[Na+],0.699,25,zwitterionic
C1CN(CCN1CCO)CCS(=O)(=O)[O-].[Na+],0.398,25,zwitterionic
C1CCC(CC1)NS(=O)(=O)[O-].[Na+],0.523,25,zwitterionic
CCCCN1C=C[N+](=C1)CCOS(=O)(=O)[O-],0.456,25,zwitterionic
[B-](F)(F)(F)F.CCCCN1C-C[N+](=C1)C,0.071,25,zwitterionic
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCN1C=C[N+](=C1)C,3.638,25,zwitterionic
CCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,2.085,25,zwitterionic
CCCCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,2.618,25,zwitterionic
CCCCCCCCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,4.009,25,zwitterionic
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,3,25,zwitterionic
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,3.969,25,zwitterionic
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,4,25,zwitterionic
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,4.854,25,zwitterionic
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,4.745,25,zwitterionic
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,4.886,25,zwitterionic
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,5.215,25,zwitterionic
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,5.097,25,zwitterionic
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,4.886,25,zwitterionic
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,5.276,25,zwitterionic
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,5.26,25,zwitterionic
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,5.046,25,zwitterionic
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCCCC,5.319,25,zwitterionic
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,5.229,25,zwitterionic
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC,5.301,25,zwitterionic
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC,5.155,25,zwitterionic
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,5.367,25,zwitterionic
CCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.721,25,zwitterionic
CCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.155,25,zwitterionic
CCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.699,25,zwitterionic
CCCCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.824,25,zwitterionic
CCCCCCCC[N+](C)(C)CC([O-])=O,0.602,27,zwitterionic
CCCCCCCCC([N+](C)(C)C)C([O-])=O,1.013,27,zwitterionic
C[N+](C)(CC([O-])=O)CCCCCCCCCCCC,2.699,25,zwitterionic
C[N+](C)(CCCCCC([O-])=O)CCCCCCCCCCCC,2.585,25,zwitterionic
C[N+](CCCCCCCC([O-])=O)(CCCCCCCCCCCC)C,2.824,25,zwitterionic
C[N+](C)(CC([O-])=O)CCCCCCCCCCCCCC,3.658,25,zwitterionic
C[N+](C)(CCCC([O-])=O)CCCCCCCCCCCC,2.337,25,zwitterionic
C[N+](CCCS([O-])(=O)=O)(CCCCCCCCCCCC)C,2.523,25,zwitterionic
C[N+](CCCS([O-])(=O)=O)(CCCCCCCCCCCCCC)C,2.495,25,zwitterionic
CCCCCCCCCCC(C([O-])=O)[N+](C)(C)C,1.886,27,zwitterionic
C[N+](C)(C)C(C([O-])=O)CCCCCCCCCCCC,2.886,27,zwitterionic
CCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,2.284,25,zwitterionic
CCCCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,3.222,25,zwitterionic
CCCCCCCCCCCCN(OC)C,2.678,27,zwitterionic
C[N+](C)(CC([O-])=O)CCCCCCCCCC,1.7447,23,zwitterionic
C[N+](C)(CC([O-])=O)CCCCCCCCCCCCCCCC,4.699,23,zwitterionic
C[N+](CCCC([O-])=O)(CCCCCCCCCCCC)C,2.3372,25,zwitterionic
C[N+](CCCCCC([O-])=O)(CCCCCCCCCCCC)C,2.585,25,zwitterionic
CCCCCCCCCC[N+](C1=CC=CC=C1)(CC([O-])=O)C,2.2757,25,zwitterionic
CCCCCCCCCCCC[N+](C1=CC=CC=C1)(CC([O-])=O)C,3.2596,25,zwitterionic
CCCCCCCCCCCC[N+](C)(CCCS(=O)([O-])=O)C,2.5229,25,zwitterionic
CCCCCCCCCCCCCC[N+](C)(CCCS(=O)([O-])=O)C,3.4949,25,zwitterionic
C[N+](C)(CC([O-])=O)CCCCCCCC,0.6021,27,zwitterionic
CCCCCCCCCCC([N+](C)(C)C)C([O-])=O,1.8861,27,zwitterionic
CCCCCCCCCCCCC([N+](C)(C)C)C([O-])=O,2.8861,27,zwitterionic
CCCCCCCCCCCC[N+]1=CC=C(C([O-])=O)C=C1,2.7212,50,zwitterionic
CCCCCCCCCCCC[N+]1=CC=CC(C([O-])=O)=C1,2.8239,50,zwitterionic
CCCCCCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,4.1308,40,zwitterionic
CCCCCCCCCC[N+](CC([O-])=O)(CC1=CC=CC=C1)C,2.3565,40,zwitterionic
CCCCCCCCCC[N+](CS(=O)([O-])=O)(CC1=CC=CC=C1)C,2.3372,40,zwitterionic
CCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],1.71,25,cationic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],1.952,25,cationic
CCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],2.337,25,cationic
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],2.558,25,cationic
CCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],2.866,25,cationic
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],3.14,25,cationic
CCCCCCCCCCCCC1=CC=[N+](C=C1)C.[I-],2.602,25,cationic
CC(C)(C)CCCCCCCCC1=CC=[N+](C=C1)C.[I-],2.406,25,cationic
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)C.[I-],2.425,25,cationic
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)CC.[I-],2.656,25,cationic
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)CCC.[I-],2.719,25,cationic
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)C(C)C.[I-],2.714,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.42,25,cationic
CCCCCCCCCCCC[N+](C)(C)C.[Br-],1.811958,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],3.31,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.701,25,cationic
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],2.056,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],2.824,25,cationic
CCCCCC[N+](C)(C)C.[Br-],0.305,25,cationic
CCCCCCCC[N+](C)(C)C.[Br-],0.538,25,cationic
CCCCCCCCCC[N+](C)(C)C.[Br-],1.319,25,cationic
CCCCCCCCCCCC[N+](C)(C)CC.[Br-],1.83,25,cationic
CCCCCCCCCCCCCC[N+](C)(CC)C.[Br-],2.514,25,cationic
CCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],2.301,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],2.893,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],3.514,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCO.[Br-],3.695,25,cationic
CCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],3.815,25,cationic
CCCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],4.444,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCOC.[Br-],3.693,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(CCOC)CCOC.[Br-],3.914,25,cationic
CCCCCCCCCCCCCCC[N+](CCOC)(CCOC)CCOC.[Br-],4.137,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCC.[Br-],3.213,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(CCC)CCC.[Br-],3.69,25,cationic
CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],3.86,25,cationic
CCCCCCCCCCCCCCC(O)C[N+](C)(C)CCO.[Cl-],2.752,25,cationic
CCCCCCCCCCCCCC(O)C[N+](C)(CCO)CCO.[Cl-],2.772,25,cationic
CCCCCCCCCCCCCCC(O)C[N+](C)(C)C.[Cl-],2.715,25,cationic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCC[N+](C)(C)(C).[Br-],2.845,25,cationic
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC[N+](C)(C)(C).[Br-],2.801,25,cationic
FC(F)(F)C(F)(C(F)(F)C(C(F)(F)C(F)(F)CCCCCCCC[N+](C)(C)C)(F)F)F.[Br-],2.983,25,cationic
FC(F)(F)C(F)(C(F)(F)C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCC[N+](C)(C)C)(F)F)F.[Br-],3.377,25,cationic
CCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1.061,25,cationic
CCCCCC/C=C/CCCCC1=CC=[N+](C)C=C1.[I-],1.886,25,cationic
CCCCCCCCC/C=C/CC1=CC=[N+](C=C1)C.[I-],2.38,25,cationic
CCCCCCCCCC[N+](C)(C)(C).[Cl-],1.215,25,cationic
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],2.509,25,cationic
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],2.678,25,cationic
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],2.922,25,cationic
CCCCCCCCCCCC[N+](C)(CC[N+](C)(CCCCCCCCCCCC)C)C,3.097,25,cationic
CCCCCCCCCCCC[N+](C)(CCC[N+](C)(CCCCCCCCCCCC)C)C,3.027,25,cationic
CCCCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCCCC)C)C,2.932,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCC[N+](C)(CCCCCCCCCCCC)C)C,2.987,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,3.081,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,3.201,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,3.432,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,3.699,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,3.921,25,cationic
CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC,1.86,25,cationic
CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC,1.582,25,cationic
CCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCC,1.58,25,cationic
CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC,1.599,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC,4.678,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.602,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.569,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.444,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.367,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.482,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.569,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,4.699,25,cationic
CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,2.057,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC,3.87,25,cationic
CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC,2.208,25,cationic
CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC,2.187,25,cationic
CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,2.06,25,cationic
CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,2.125,25,cationic
CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC,2.377,25,cationic
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,2.658,25,cationic
CCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCC,0.796,25,cationic
CCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCC,1.602,25,cationic
CCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCC,2.051,25,cationic
CCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCC,2.523,25,cationic
CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC,2.959,25,cationic
CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCC,3.387,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC,3.745,25,cationic
CCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCC,3.056,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,3.076,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC,3.125,25,cationic
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,3.229,25,cationic
CCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCC)C)C,1.509,25,cationic
CCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCC)C)C,1.745,25,cationic
CCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCC)C)C,2.076,25,cationic
CCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCC)C)C,2.523,25,cationic
CCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCC)C)C,2.959,25,cationic
CCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCC)C)C,3.481,25,cationic
CCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCC)C)C,3.921,25,cationic
CCCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCCC)C)C,4.367,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCCCC)C)C,4.921,25,cationic
CCCCCCCC[N+](CCOCC[N+](CCCCCCCC)(C)C)(C)C,1.357,25,cationic
CCCCCCCCC[N+](CCOCC[N+](CCCCCCCCC)(C)C)(C)C,1.658,25,cationic
CCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCC)(C)C)(C)C,2.114,25,cationic
CCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCC)(C)C)(C)C,2.585,25,cationic
CCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCC)(C)C)(C)C,3,25,cationic
CCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCC)(C)C)(C)C,3.42,25,cationic
CCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C,3.721,25,cationic
CCCCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C,3.194,25,cationic
CCCCCC[N+](CCSCC[N+](CCCCCC)(C)C)(C)C,0.886,25,cationic
CCCCCCCC[N+](CCSCC[N+](CCCCCCCC)(C)C)(C)C,1.432,25,cationic
CCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCC)(C)C)(C)C,2.208,25,cationic
CCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCC)(C)C)(C)C,3.018,25,cationic
CCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C,4,25,cationic
CCCCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C,5.013,25,cationic
CCCCCCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCCCCCC)(C)C)(C)C,6,25,cationic
CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC,2.857,25,cationic
CCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCC,1.594,25,cationic
CCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCCCCCC,3.051,25,cationic
CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1,3.041,25,cationic
CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1,1.463,25,cationic
CCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCC,1.321,25,cationic
CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCC2)CCCC1,2.276,25,cationic
CCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCCCC,2.225,25,cationic
CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1,3.886,25,cationic
CCCCCCCC[N+](C)(C)CCC1=CC=CC(CC[N+](C)(C)CCCCCCCC)=C1,1.646,25,cationic
CCCCCCCC[N+](C)(CCC1=CC=CC=C1CC[N+](C)(CCCCCCCC)C)C,1.629,25,cationic
CCCCCCCC[N+](C)(C)CCC1=CC=C(C=C1)CC[N+](C)(C)CCCCCCCC,1.611,25,cationic
CCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCC)C)O)C,2.432,25,cationic
CCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCC)C)O)C,3.155,25,cationic
CCCCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCCCC)C)O)C,4.071,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCCCCCCCC)C)O)C,4.301,25,cationic
CCCCCCCCCCC1=CC=CC=[N+]1CCCC[N+]2=C(C=CC=C2)CCCCCCCCCC.[Br-].[Br-],2.57,25,cationic
CCCCCCCCCCCCC1=CC=CC=[N+]1CCCC[N+]2=C(C=CC=C2)CCCCCCCCCCCC.[Br-].[Br-],3.252,25,cationic
CCCCCCCCCCC1=CC=CC=[N+]1CCCCCC[N+]2=C(C=CC=C2)CCCCCCCCCC.[Br-].[Br-],2.699,25,cationic
CCCCCCCCCCCCC1=CC=CC=[N+]1CCCCCC[N+]2=C(C=CC=C2)CCCCCCCCCCCC.[Br-].[Br-],3.268,25,cationic
CCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.721,25,cationic
CCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.155,25,cationic
CCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.699,25,cationic
CCCCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,3.824,25,cationic
CCCCCCCCCCCC[N+](C)(CCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,3.036,25,cationic
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,3.066,25,cationic
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,3.046,25,cationic
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,2.91,25,cationic
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],1.699,25,cationic
CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],2.3468,25,cationic
CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],1.3565,25,cationic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1.7696,25,cationic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[I-],2.2757,25,cationic
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],2.4559,25,cationic
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.0458,25,cationic
CCCCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],3.6198,25,cationic
CCCCCCCCCCCC[N+](C)(CC)C.[Br-],1.8539,25,cationic
CCCCCCCCCCCC[N+](C)(CCCC)C.[Br-],2.1249,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCC)C.[Br-],2.5086,25,cationic
CCCCCCCCCCCC[N+](C)(CCCCCCCC)C.[Br-],2.9586,25,cationic
CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],1.4089,25,cationic
CCCCCCCCCCCC[NH2+]CCO.[Cl-],1.3468,25,cationic
CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],1.4437,25,cationic
CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],1.6021,25,cationic
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],2.7328,25,cationic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],3.7545,25,cationic
CCCCCCCCCCOCC[N+](C)(C)C.[Cl-],1.5143,25,cationic
CCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],1.6383,25,cationic
CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-],2.1487,25,cationic
CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],2.284,25,cationic
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],3.4685,25,cationic
CCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],1.5918,25,cationic
CCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],1.6778,25,cationic
CCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],2.1612,25,cationic
CCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],2.3098,25,cationic
CCCCCCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],3.5376,25,cationic
CCCCCCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],3.7447,25,cationic
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],2.8861,30,cationic
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4685,40,cationic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,4.097,25,nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.027,25,nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5,25,nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.26,25,nonionic
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.932,25,nonionic
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.695,25,nonionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,4.983,25,nonionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.046,25,nonionic
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.456,25,nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,5.77,25,nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.678,25,nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.638,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCO,4.305,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCO,4.116,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCO,4.046,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,3.765,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,3.886,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,3.572,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,3.548,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.491,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.553,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.367,25,nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.469,25,nonionic
