"SMILES","Tail (C number)","Tail (SMILES)","Head (SMILES)","Head 2 (SMILES)","Head 3 (SMILES)","Counterion","Additives","Conc. A.","pH","IUPAC_Name","Preferred_Name","Surfactant_Type","Molecular_Formula","Molecular_Weight","CMC","pCMC","Temp_Celsius"
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"p-t-O-P-POE(30)E","2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-Trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol","non-ionic","C74H142O31",1526.95,0.00072,3.14266750356873,24.85
"CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1",5,"CC(C)(C)CC(C)(C)c1ccc()cc1","OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,"p-t-O-P-POE(40)E","2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-Trimethylpentan-2-yl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol","non-ionic","C94H182O41",1967.22,0.00081,3.09151498112135,24.85
"S(=O)(=O)(OC(CCCCCCCCCCC)OC(C)(C)C)[O-].[Na+]",12,"(OC(CCCCCCCCCCC)OC(C)(C)C)","OS(=O)(=O)[O-]",,,"[Na+]",,,,"sodium 1-(tert-butoxy)dodecyl sulfate","sodium tert-butyloxydodecyl sulfate","anionic","C16H33NaO5S",360.19,0.00139,2.85698519974591,25
"CC(C)(C)[Si]O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si]C(C)(C)C",3,"CC(C)(C)[Si]O[Si](C)()O[Si]C(C)(C)C","CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,,,"non-ionic",,1010.52,0.0018,2.74472749489669,25
"CC(C)(C)[Si]O[Si](C)(O[Si]CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si]C(C)(C)C",3,"CC(C)(C)[Si]O[Si](C)()O[Si]C(C)(C)C","O[Si]CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,,,"non-ionic",,1054.49,0.0012,2.92081875395238,25
"CC(C)(C)[Si]O[Si](CCCOCCOCCOCCOCC=O)(O[Si]C(C)(C)C)C(C)(C)C",3,"CC(C)(C)[Si]O[Si]()(O[Si]C(C)(C)C)C(C)(C)C","CCCOCCOCCOCCOCC=O",,,,,,,,,"non-ionic",,520.27,0.000079,4.10237290870956,23
"CC(C)(C)[Si]O[Si](CCCOCCOCCOCCOCCOCCOCCOCCOCC=O)(O[Si]C(C)(C)C)C(C)(C)C",3,"CC(C)(C)[Si]O[Si]()(O[Si]C(C)(C)C)C(C)(C)C","CCCOCCOCCOCCOCCOCCOCCOCCOCC=O",,,,,,,,,"non-ionic",,696.38,0.0001,4,23
"CC(C)(C)[Si]O[Si](CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC=O)(O[Si]C(C)(C)C)C(C)(C)C",3,"CC(C)(C)[Si]O[Si]()(O[Si]C(C)(C)C)C(C)(C)C","CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC=O",,,,,,,,,"non-ionic",,872.48,0.00063,3.20065945054642,23
"CC(C)(C)[Si]O[Si](CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)(O[Si])O[Si]C(C)(C)C",3,"CC(C)(C)[Si]O[Si]()(O[Si])O[Si]C(C)(C)C","CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO",,,,,,,,,"non-ionic",,1039.46,0.0007,3.15490195998574,25
"CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O",8,"CC(C)CCCC(C)CC","OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O",,,,,,,"3,7-Dimethyloctyl-Î˛-D-maltoside","3,7-Dimethyloctyl-Î˛-D-maltoside","sugar-based non-ionic",,482.27,0.0053,2.27572413039921,25
"CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O",8,"CC(C)CCCC(C)CC","OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O",,,,,,,"3,7-Dimethyloctyl-Î˛-D-maltotrioside","3,7-Dimethyloctyl-Î˛-D-maltotrioside","sugar-based non-ionic",,644.33,0.005,2.30102999566398,25
