smiles,temp,pCMC
CCCCCCCCCCCCOC(=O)C(CC1=CC=CC=C1)NC(=O)S(=O)(=O)[O-].[Na+],40.0,1.817
CCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],40.0,2.817
CCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],40.0,3.445
CCCCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],40.0,4.164
CCCCCCCCCCCCCCOC(C(C)NC(C1=CC=CC=C1S(=O)([O-])=O)=O)=O.[Na+],40.0,4.759
CCCCCCCCCCCCCCOC(=O)C(C)NC(=O)C2=CC=CC=C2S(=O)(=O)[O-].[Na+],40.0,3.351
CCCCCCS(=O)(=O)[O-].[Na+],40.0,0.496
CCCCCCCCS(=O)(=O)[O-].[Na+],40.0,0.796
CCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,1.398
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,1.959
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,2.421
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,2.602
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,3.139
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,3.131
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],40.0,3.635
CCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],40.0,1.886
CCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],40.0,2.569
CCCCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],40.0,3.215
CCCCCCCCCCCCCCCC/C=C/S(=O)(=O)[O-].[Na+],40.0,3.745
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],40.0,1.827
CCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],40.0,1.73
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],40.0,1.635
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],40.0,1.548
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],40.0,1.442
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],40.0,2.144
CCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,1.582
CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,1.907
CCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,1.967
CCCCCCCCC(C)C1=CCC(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.303
CCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.2
CCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.047
CCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.721
CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.692
CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.606
CCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.721
CCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,2.585
CCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,3.208
CCCCCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],40.0,3.577
CCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,0.854
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,1.481
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,1.783
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,2.066
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,2.367
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,2.658
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,2.921
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,3.237
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],40.0,3.796
CCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,1.328
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,2.481
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],40.0,2.367
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],40.0,2.288
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],40.0,2.171
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],40.0,2.013
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,2.767
CCCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],40.0,2.658
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],40.0,2.469
CCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],40.0,2.177
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],40.0,2.764
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],40.0,2.629
CCCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],40.0,2.372
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,3.31
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],40.0,2.629
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],40.0,3.585
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],40.0,3.347
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],40.0,3.143
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],40.0,3.027
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],40.0,3.481
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],40.0,3.097
CCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],40.0,3.046
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],40.0,2.959
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],40.0,2.824
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],40.0,2.699
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],40.0,2.638
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],40.0,2.523
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],40.0,2.396
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],40.0,2.553
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],40.0,1.606
CCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],40.0,2.118
CCCCCCCCCC(OCC)CCS(=O)(=O)[O-].[Na+],40.0,2.301
CCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],40.0,2.42
CCCCCCCCCC(OC(C)C)CCS(=O)(=O)[O-].[Na+],40.0,2.458
CCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],40.0,2.817
CCCCCCCCCC(OCCCCCC)CCS(=O)(=O)[O-].[Na+],40.0,3.185
CCCCCCCCCC(OCCCCCCCC)CCS(=O)(=O)[O-].[Na+],40.0,3.922
CCCCCCCCCC(OCC(CC)CCCC)CCS(=O)(=O)[O-].[Na+],40.0,3.501
CCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],40.0,2.708
CCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],40.0,1.541
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],40.0,2.199
CCCCCCCCCCCC(OCCO)CCS(=O)(=O)[O-].[Na+],40.0,3.445
CCCCCCCCCCCC(OCCOCC)CCS(=O)(=O)[O-].[Na+],40.0,2.922
CCCCCCCCCCCC(OC1=CC=C(C=C1))CCS(=O)(=O)[O-].[Na+],40.0,3.641
CCCCCCCCCCCC(OC1=C(Cl)C=C(Cl)C=C1Cl)CCS(=O)(=O)[O-].[Na+],40.0,4.787
CCCCCCCCCCCC(N(C)(C))CCS(=O)(=O)[O-].[Na+],40.0,2.964
CCCCCCCCCCCC(NCCC)CCS(=O)(=O)[O-].[Na+],40.0,3.2
CCCCCCCCCCCC(NCCCC)CCS(=O)(=O)[O-].[Na+],40.0,3.708
CCCCCCCCCCCC(N1CCOCC1)CCS(=O)(=O)[O-].[Na+],40.0,3.106
CCCCCCCCCCCC(N1CCCCC1)CCS(=O)(=O)[O-].[Na+],40.0,3.31
CCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],40.0,2.174
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],40.0,2.839
CCCCCCCCCCCCCC(OC)CCS(=O)(=O)[O-].[Na+],40.0,3.472
CCCCCCCCCCCCCC(OCCC)CCS(=O)(=O)[O-].[Na+],40.0,4.089
CCCCCCCCCCCCCC(OCCCC)CCS(=O)(=O)[O-].[Na+],40.0,4.458
CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],40.0,2.735
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],40.0,3.046
CCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],40.0,1.986
CCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],40.0,2.583
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],40.0,3.398
CCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],40.0,3.509
CCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],40.0,3.964
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],40.0,4.0
CCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],40.0,4.106
CCCCCCCCCCCCCCCCC(C(=O)OCCC)S(=O)(=O)[O-].[Na+],40.0,4.899
CCCCCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],40.0,3.42
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],40.0,1.787
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],40.0,1.787
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],40.0,2.432
CCCCCCOC(=O)S(=O)(=O)[O-].[Na+],40.0,0.733
