smiles,temp,pCMC
CCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,25.0,2.085
CCCCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,25.0,2.618
CCCCCCCCCCCCN1C=C[N+](=C1)C.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,25.0,4.009
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,25.0,3.0
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,25.0,3.969
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,25.0,4.0
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,25.0,4.854
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,25.0,4.745
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,25.0,4.886
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,25.0,5.215
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,25.0,5.097
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,25.0,4.886
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,25.0,5.276
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,25.0,5.26
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,25.0,5.046
CCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCCCC,25.0,5.319
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,25.0,5.229
CCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC,25.0,5.301
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC,25.0,5.155
CCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCCC,25.0,5.367
CCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.721
CCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.155
CCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.699
CCCCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.824
CCCCCCCC[N+](C)(C)CC([O-])=O,27.0,0.602
CCCCCCCCC([N+](C)(C)C)C([O-])=O,27.0,1.013
C[N+](C)(CC([O-])=O)CCCCCCCCCCCC,25.0,2.699
C[N+](C)(CCCCCC([O-])=O)CCCCCCCCCCCC,25.0,2.585
C[N+](CCCCCCCC([O-])=O)(CCCCCCCCCCCC)C,25.0,2.824
C[N+](C)(CC([O-])=O)CCCCCCCCCCCCCC,25.0,3.658
C[N+](C)(CCCC([O-])=O)CCCCCCCCCCCC,25.0,2.337
C[N+](CCCS([O-])(=O)=O)(CCCCCCCCCCCC)C,25.0,2.523
C[N+](CCCS([O-])(=O)=O)(CCCCCCCCCCCCCC)C,25.0,2.495
CCCCCCCCCCC(C([O-])=O)[N+](C)(C)C,27.0,1.886
C[N+](C)(C)C(C([O-])=O)CCCCCCCCCCCC,27.0,2.886
CCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,25.0,2.284
CCCCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,25.0,3.222
CCCCCCCCCCCCN(OC)C,27.0,2.678
C[N+](C)(CC([O-])=O)CCCCCCCCCC,23.0,1.7447
C[N+](C)(CC([O-])=O)CCCCCCCCCCCCCCCC,23.0,4.699
C[N+](CCCC([O-])=O)(CCCCCCCCCCCC)C,25.0,2.3372
C[N+](CCCCCC([O-])=O)(CCCCCCCCCCCC)C,25.0,2.585
CCCCCCCCCC[N+](C1=CC=CC=C1)(CC([O-])=O)C,25.0,2.2757
CCCCCCCCCCCC[N+](C1=CC=CC=C1)(CC([O-])=O)C,25.0,3.2596
CCCCCCCCCCCC[N+](C)(CCCS(=O)([O-])=O)C,25.0,2.5229
CCCCCCCCCCCCCC[N+](C)(CCCS(=O)([O-])=O)C,25.0,3.4949
C[N+](C)(CC([O-])=O)CCCCCCCC,27.0,0.6021
CCCCCCCCCCC([N+](C)(C)C)C([O-])=O,27.0,1.8861
CCCCCCCCCCCCC([N+](C)(C)C)C([O-])=O,27.0,2.8861
CCCCCCCCCCCC[N+]1=CC=C(C([O-])=O)C=C1,50.0,2.7212
CCCCCCCCCCCC[N+]1=CC=CC(C([O-])=O)=C1,50.0,2.8239
CCCCCCCCCCCCCCC([N+]1=CC=CC=C1)C([O-])=O,40.0,4.1308
CCCCCCCCCC[N+](CC([O-])=O)(CC1=CC=CC=C1)C,40.0,2.3565
CCCCCCCCCC[N+](CS(=O)([O-])=O)(CC1=CC=CC=C1)C,40.0,2.3372
CCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,1.71
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,1.952
CCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,2.337
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,2.558
CCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,2.866
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,3.14
CCCCCCCCCCCCC1=CC=[N+](C=C1)C.[I-],25.0,2.602
CC(C)(C)CCCCCCCCC1=CC=[N+](C=C1)C.[I-],25.0,2.406
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)C.[I-],25.0,2.425
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)CC.[I-],25.0,2.656
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)CCC.[I-],25.0,2.719
CCCC(CC)CCCCCCC1=CC=[N+](C=C1)C(C)C.[I-],25.0,2.714
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25.0,3.0
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],25.0,2.42
CCCCCCCCCCCC[N+](C)(C)C.[Br-],25.0,1.811958
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],25.0,3.31
CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],25.0,2.701
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],25.0,2.056
CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],25.0,2.824
CCCCCC[N+](C)(C)C.[Br-],25.0,0.305
CCCCCCCC[N+](C)(C)C.[Br-],25.0,0.538
CCCCCCCCCC[N+](C)(C)C.[Br-],25.0,1.319
CCCCCCCCCCCC[N+](C)(C)CC.[Br-],25.0,1.83
CCCCCCCCCCCCCC[N+](C)(CC)C.[Br-],25.0,2.514
CCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],25.0,2.301
CCCCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],25.0,2.893
CCCCCCCCCCCCCCCC[N+](C)(C)C1=CC=CC=C1.[Br-],25.0,3.514
CCCCCCCCCCCCCCCC[N+](C)(C)CCO.[Br-],25.0,3.695
CCCCCCCCCCCCCC[N+](C)(CCO)CCO.[Br-],25.0,3.815
CCCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],25.0,4.444
CCCCCCCCCCCCCCCC[N+](C)(C)CCOC.[Br-],25.0,3.693
CCCCCCCCCCCCCCCC[N+](C)(CCOC)CCOC.[Br-],25.0,3.914
CCCCCCCCCCCCCCC[N+](CCOC)(CCOC)CCOC.[Br-],25.0,4.137
CCCCCCCCCCCCCCCC[N+](C)(C)CCC.[Br-],25.0,3.213
CCCCCCCCCCCCCCCC[N+](C)(CCC)CCC.[Br-],25.0,3.69
CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],25.0,3.86
CCCCCCCCCCCCCCC(O)C[N+](C)(C)CCO.[Cl-],25.0,2.752
CCCCCCCCCCCCCC(O)C[N+](C)(CCO)CCO.[Cl-],25.0,2.772
CCCCCCCCCCCCCCC(O)C[N+](C)(C)C.[Cl-],25.0,2.715
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCC[N+](C)(C)(C).[Br-],25.0,2.845
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC[N+](C)(C)(C).[Br-],25.0,2.801
FC(F)(F)C(F)(C(F)(F)C(C(F)(F)C(F)(F)CCCCCCCC[N+](C)(C)C)(F)F)F.[Br-],25.0,2.983
FC(F)(F)C(F)(C(F)(F)C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCC[N+](C)(C)C)(F)F)F.[Br-],25.0,3.377
CCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],25.0,1.061
CCCCCC/C=C/CCCCC1=CC=[N+](C)C=C1.[I-],25.0,1.886
CCCCCCCCC/C=C/CC1=CC=[N+](C=C1)C.[I-],25.0,2.38
CCCCCCCCCC[N+](C)(C)(C).[Cl-],25.0,1.215
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],25.0,2.509
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],25.0,2.678
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],25.0,2.922
CCCCCCCCCCCC[N+](C)(CC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.097
CCCCCCCCCCCC[N+](C)(CCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.027
CCCCCCCCCCCC[N+](C)(CCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,2.932
CCCCCCCCCCCC[N+](C)(CCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,2.987
CCCCCCCCCCCC[N+](C)(CCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.081
CCCCCCCCCCCC[N+](C)(CCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.201
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.432
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.699
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)C)C,25.0,3.921
CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC,25.0,1.86
CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC,25.0,1.582
CCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCC,25.0,1.58
CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC,25.0,1.599
CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.678
CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.602
CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.569
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.444
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.367
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.482
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.569
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,25.0,4.699
CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,25.0,2.057
CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC,25.0,3.87
CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC,25.0,2.208
CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC,25.0,2.187
CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC,25.0,2.06
CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,25.0,2.125
CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC,25.0,2.377
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,25.0,2.658
CCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCC,25.0,0.796
CCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCC,25.0,1.602
CCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCC,25.0,2.051
CCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCC,25.0,2.523
CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC,25.0,2.959
CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCC,25.0,3.387
CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC,25.0,3.745
CCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCC,25.0,3.056
CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,25.0,3.076
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC,25.0,3.125
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,25.0,3.229
CCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCC)C)C,25.0,1.509
CCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCC)C)C,25.0,1.745
CCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCC)C)C,25.0,2.076
CCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCC)C)C,25.0,2.523
CCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCC)C)C,25.0,2.959
CCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCC)C)C,25.0,3.481
CCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCC)C)C,25.0,3.921
CCCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCCC)C)C,25.0,4.367
CCCCCCCCCCCCCCCC[N+](C)(CCN(C)CC[N+](C)(CCCCCCCCCCCCCCCC)C)C,25.0,4.921
CCCCCCCC[N+](CCOCC[N+](CCCCCCCC)(C)C)(C)C,25.0,1.357
CCCCCCCCC[N+](CCOCC[N+](CCCCCCCCC)(C)C)(C)C,25.0,1.658
CCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCC)(C)C)(C)C,25.0,2.114
CCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCC)(C)C)(C)C,25.0,2.585
CCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCC)(C)C)(C)C,25.0,3.0
CCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCC)(C)C)(C)C,25.0,3.42
CCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C,25.0,3.721
CCCCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C,25.0,3.194
CCCCCC[N+](CCSCC[N+](CCCCCC)(C)C)(C)C,25.0,0.886
CCCCCCCC[N+](CCSCC[N+](CCCCCCCC)(C)C)(C)C,25.0,1.432
CCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCC)(C)C)(C)C,25.0,2.208
CCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCC)(C)C)(C)C,25.0,3.018
CCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C,25.0,4.0
CCCCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C,25.0,5.013
CCCCCCCCCCCCCCCCCC[N+](CCSCC[N+](CCCCCCCCCCCCCCCCCC)(C)C)(C)C,25.0,6.0
CCCCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCCCC,25.0,2.857
CCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCC,25.0,1.594
CCCCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCCCCCC,25.0,3.051
CCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1,25.0,3.041
CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1,25.0,1.463
CCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCC,25.0,1.321
CCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCC)CCCC2)CCCC1,25.0,2.276
CCCCCCCCCC[N+]1(CCCCC1)CC#CC[N+]2(CCCCC2)CCCCCCCCCC,25.0,2.225
CCCCCCCCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1,25.0,3.886
CCCCCCCC[N+](C)(C)CCC1=CC=CC(CC[N+](C)(C)CCCCCCCC)=C1,25.0,1.646
CCCCCCCC[N+](C)(CCC1=CC=CC=C1CC[N+](C)(CCCCCCCC)C)C,25.0,1.629
CCCCCCCC[N+](C)(C)CCC1=CC=C(C=C1)CC[N+](C)(C)CCCCCCCC,25.0,1.611
CCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCC)C)O)C,25.0,2.432
CCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCC)C)O)C,25.0,3.155
CCCCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCCCC)C)O)C,25.0,4.071
CCCCCCCCCCCCCCCC[N+](C)(CC(C(O)C[N+](C)(CCCCCCCCCCCCCCCC)C)O)C,25.0,4.301
CCCCCCCCCCC1=CC=CC=[N+]1CCCC[N+]2=C(C=CC=C2)CCCCCCCCCC.[Br-].[Br-],25.0,2.57
CCCCCCCCCCCCC1=CC=CC=[N+]1CCCC[N+]2=C(C=CC=C2)CCCCCCCCCCCC.[Br-].[Br-],25.0,3.252
CCCCCCCCCCC1=CC=CC=[N+]1CCCCCC[N+]2=C(C=CC=C2)CCCCCCCCCC.[Br-].[Br-],25.0,2.699
CCCCCCCCCCCCC1=CC=CC=[N+]1CCCCCC[N+]2=C(C=CC=C2)CCCCCCCCCCCC.[Br-].[Br-],25.0,3.268
CCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.721
CCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.155
CCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.699
CCCCCCCCC(CC)COP(OCC[N+](C)(C)CC(CC)CCCC)([O-])=O,25.0,3.824
CCCCCCCCCCCC[N+](C)(CCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,25.0,3.036
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,25.0,3.066
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,25.0,3.046
CCCCCCCCCCCC[N+](C)(CCCOCCOCCOCCOCCOC[N+](C)(C)CCCCCCCCCCCC)C,25.0,2.91
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],25.0,1.699
CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],25.0,2.3468
CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],25.0,1.3565
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],25.0,1.7696
CCCCCCCCCCCC[N+]1=CC=CC=C1.[I-],25.0,2.2757
CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],25.0,2.4559
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],25.0,3.0458
CCCCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],25.0,3.6198
CCCCCCCCCCCC[N+](C)(CC)C.[Br-],25.0,1.8539
CCCCCCCCCCCC[N+](C)(CCCC)C.[Br-],25.0,2.1249
CCCCCCCCCCCC[N+](C)(CCCCCC)C.[Br-],25.0,2.5086
CCCCCCCCCCCC[N+](C)(CCCCCCCC)C.[Br-],25.0,2.9586
CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],25.0,1.4089
CCCCCCCCCCCC[NH2+]CCO.[Cl-],25.0,1.3468
CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],25.0,1.4437
CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],25.0,1.6021
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],25.0,2.7328
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],25.0,3.7545
CCCCCCCCCCOCC[N+](C)(C)C.[Cl-],25.0,1.5143
CCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],25.0,1.6383
CCCCCCCCCCCCOCC[N+](C)(C)C.[Cl-],25.0,2.1487
CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],25.0,2.284
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],25.0,3.4685
CCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,1.5918
CCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,1.6778
CCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,2.1612
CCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,2.3098
CCCCCCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,3.5376
CCCCCCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],25.0,3.7447
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],30.0,2.8861
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],40.0,3.4685
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.097
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.027
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,5.0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.26
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.932
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.695
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,25.0,4.983
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,5.046
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,5.456
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,25.0,5.77
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,5.678
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,5.638
CCCCCCCCC1=CC=C(C=C1)OCCO,25.0,4.305
CCCCCCCCC1=CC=C(C=C1)OCCOCCO,25.0,4.116
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCO,25.0,4.046
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,25.0,3.765
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,25.0,3.886
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,25.0,3.572
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.548
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.491
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.553
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.367
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.469
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,25.0,4.26
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.125
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.061
CCCCCCCCOCCOCCOCCOCCO,25.0,2.149
CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,2.523
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.523
CCCCCCCCCCCCOCCOCCOCCOCCO,25.0,4.194
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,25.0,4.061
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.854
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCCOCCOCCO,25.0,4.951
CCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCCOCCO,25.0,5.678
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCO,25.0,3.889
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,3.517
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,25.0,4.125
CN(C)CCCNC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,25.0,3.495
CCN(CC)CCCNC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,25.0,3.824
CCCN(CCC)CCCNC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,25.0,2.547
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,25.0,4.15
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,25.0,4.229
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,25.0,4.569
CCCCCCCCCCCCOCCOCCOCCOCCCOCCCOCCCOCCCOCCCOCCCO,25.0,5.148
CCCCCCCCCCCCOCCOCCOCCOCCOCCCOCCCOCCCOCCCOCCCO,25.0,4.796
